PDB Lapangan Usaha;Harga Berlaku Triwulan I;Harga Berlaku Triwulan II;Harga Berlaku Triwulan III;Harga Berlaku Triwulan IV;Harga Berlaku Tahunan;Harga Konstan 2000 Triwulan I;Harga Konstan 2000 Triwulan II;Harga Konstan 2000 Triwulan III;Harga Konstan 2000 Triwulan IV;Harga Konstan Tahunan
1.PERTANIAN, PETERNAKAN, KEHUTANAN, PERIKANAN;360988,4;367907,5;400015,9;317810,5;1446722,3;88436,4;90591,9;97647,4;74046,5;350722,2
a. Tanaman Bahan Makanan;190705;171453,8;188318,6;117860,3;668337,7;47293,5;42572,4;46325,4;27891,3;164082,6
b. Tanaman Perkebunan;35873,6;54187,8;61524,8;41335,3;192921,5;10617,1;15939,1;18462,6;12226,9;57245,7
c. Peternakan dan Hasil-hasilnya;43263,8;44114,8;47266,7;49601,2;184246,5;11058,8;11230,4;11675;11995,9;45960,1
d. Kehutanan;13207,8;15872,6;15798,5;15993,9;60872,8;3843,8;4595,7;4526,2;4510,6;17476,3
e. Perikanan;77938,2;82278,5;87107,3;93019,8;340343,8;15623,2;16254,3;16658,2;17421,8;65957,5
2.PERTAMBANGAN DAN PENGGALIAN;251956,5;263369,2;273125;270299,5;1058750,2;47758,6;48043,9;49252,6;50369,9;195425
a. Minyak dan Gas Bumi;111214,5;108247,6;105973,9;87669,2;413105,2;21661,2;21688,7;22132,7;20995;86477,6
b. Pertambangan Bukan Migas;103001,3;115422,1;124583,3;137074,5;480081,2;19173,5;19169;19701,5;21576,1;79620,1
c. Penggalian;37740,7;39699,5;42567,8;45555,8;165563,8;6923,9;7186,2;7418,4;7798,8;29327,3
3.INDUSTRI PENGOLAHAN;566866,7;589502,5;612504,9;625130,8;2394004,9;178731,7;183423,9;188118,6;191561,5;741835,7
a. Industri Migas;72785,8;72376,4;73059,6;72064,6;290286,4;11079;11001,1;10975,4;10584,4;43639,9
b. Industri bukan Migas;494080,9;517126,1;539445,3;553066,2;2103718,5;167652,7;172422,8;177143,2;180977,1;698195,8
4.LISTRIK, GAS DAN AIR BERSIH;18804,6;20113;20122,3;22091,1;81131;5429,9;5632,8;5551,3;5809,5;22423,5
a. Listrik;12629,6;13626,8;13621,7;14852,6;54730,7;3548,9;3765,9;3680,9;3876,4;14872,1
b. Gas Kota;4492,6;4753,9;4743,1;5467;19456,6;1251,6;1234,8;1230,9;1292,7;5010
c. Air Bersih;1682,4;1732,3;1757,5;1771,5;6943,7;629,4;632,1;639,5;640,4;2541,4
5.KONSTRUKSI;233343,4;245097,7;258217,9;277881,8;1014540,8;45829,5;47552,1;49105,9;51605,9;194093,4
6.PERDAGANGAN, HOTEL DAN RESTORAN;349003,7;364426,4;375242,7;384886,9;1473559,7;125626,2;130655,7;132809,9;135217,7;524309,5
a. Perdagangan Besar dan Eceran;281168,3;294712,8;303960,3;311390;1191231,4;104373,3;109063;111062,2;113285,9;437784,4
b. Hotel;10829,1;11709,4;11856,1;12575,6;46970,2;5510,6;5768,6;5831,3;5948,5;23059
c. Restoran;57006,3;58004,2;59426,3;60921,3;235358,1;15742,3;15824,1;15916,4;15983,3;63466,1
7.PENGANGKUTAN DAN KOMUNIKASI;173424,1;181504,9;190250,4;200468,8;745648,2;76814,6;78733,4;80616,5;82363,4;318527,9
a. Pengangkutan;95823,2;102416,3;109447,8;117491,7;425179;26982,8;27931;28678;28978,9;112570,7
b. Komunikasi;77600,9;79088,6;80802,6;82977,1;320469,2;49831,8;50802,4;51938,5;53384,5;205957,2
8.KEUANGAN, REAL ESTAT & JASA PERUSAHAAN;185105,8;189068,5;194840;202947,2;771961,5;70690,6;71690,5;72461,6;73508,3;288351
a. Bank;60831;61976,2;63511,1;65898;252216,3;29404,7;29799,8;29840,3;30327,5;119372,3
b. Lembaga Keuangan Bukan Bank;25004,4;25704,6;26309,3;26976,4;103994,7;6221,1;6345,1;6456,3;6551,5;25574
c. Jasa Penunjang Keuangan;1371,2;1403;1433;1455,3;5662,5;462,7;469,4;477,1;480,7;1889,9
d. Real Estate;61879,8;63240,8;65435,8;68312,1;258868,5;20783;21059;21373,1;21666,9;84882
e. Jasa Perusahaan;36019,4;36743,9;38150,8;40305,4;151219,5;13819,1;14017,2;14314,8;14481,7;56632,8
9.JASA - JASA;247562,6;257092;298293,5;305662,2;1108610,3;66616,8;67087,6;69587,6;70201,3;273493,3
a. Pemerintahan Umum;121917,4;128415,6;163319;166329,2;579981,2;24977,8;24742,8;26256,9;26294,6;102272,1
b. Swasta;125645,2;128676,4;134974,5;139333;528629,1;41639;42344,8;43330,7;43906,7;171221,2
PDB;2387055,8;2478081,7;2622612,6;2607178,8;10094928,9;705934,3;723411,8;745151,4;734684;2909181,5
PDB Tanpa Migas;2203055,5;2297457,7;2443579,1;2447445;9391537,3;673194,1;690722;712043,3;703104,6;2779064
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
